Sample_ID,Site,PFAS_type,Conc_ppb,Sample_type,Size_class
Rat_W3_421,Ratlum Brook,6:2FTS,0,Water,NA
Rat_W3_421,Ratlum Brook,9Cl-PF3ONS,0,Water,NA
Rat_W3_421,Ratlum Brook,PFNA,0,Water,NA
Rat_W3_421,Ratlum Brook,PFOS,0.0041,Water,NA
Rat_W3_421,Ratlum Brook,PFNS,0,Water,NA
Rat_W3_421,Ratlum Brook,8:2FTS,0,Water,NA
Rat_W3_421,Ratlum Brook,PFDA,0,Water,NA
Rat_W3_421,Ratlum Brook,NMeFOSAA,0,Water,NA
Rat_W3_421,Ratlum Brook,PFOSA,0,Water,NA
Rat_W3_421,Ratlum Brook,PFDS,0,Water,NA
Rat_W3_421,Ratlum Brook,NEtFOSAA,0,Water,NA
Rat_W3_421,Ratlum Brook,11-ClPF3OUdS,0,Water,NA
Rat_W3_421,Ratlum Brook,PFUnA,0,Water,NA
Rat_W3_421,Ratlum Brook,PFDoA,0,Water,NA
Rat_W3_421,Ratlum Brook,PFTrDA,0,Water,NA
Rat_W3_421,Ratlum Brook,PFTA,0,Water,NA
Peq_W1_424,Pequabuck River,PFBA,0,Water,NA
Peq_W1_424,Pequabuck River,PFPeA,0,Water,NA
Peq_W1_424,Pequabuck River,PFBS,0,Water,NA
Peq_W1_424,Pequabuck River,PFHxA,0.0026,Water,NA
Peq_W1_424,Pequabuck River,42FTS,0,Water,NA
Peq_W1_424,Pequabuck River,PFPeS,0,Water,NA
Peq_W1_424,Pequabuck River,GenX,0,Water,NA
Peq_W1_424,Pequabuck River,ADONA,0,Water,NA
Peq_W1_424,Pequabuck River,PFHpA,0.0026,Water,NA
Peq_W1_424,Pequabuck River,PFHxS,0.0053,Water,NA
Peq_W1_424,Pequabuck River,PFOA,0.0088,Water,NA
Peq_W1_424,Pequabuck River,PFHpS,0,Water,NA
Peq_W1_424,Pequabuck River,6:2FTS,0,Water,NA
Peq_W1_424,Pequabuck River,9Cl-PF3ONS,0,Water,NA
Peq_W1_424,Pequabuck River,PFNA,0,Water,NA
Peq_W1_424,Pequabuck River,PFOS,0.0078,Water,NA
Peq_W1_424,Pequabuck River,PFNS,0,Water,NA
Peq_W1_424,Pequabuck River,8:2FTS,0,Water,NA
Peq_W1_424,Pequabuck River,PFDA,0,Water,NA
Peq_W1_424,Pequabuck River,NMeFOSAA,0,Water,NA
