Sample_ID,Site,Sample_type,Size_class,PFBA,PFPeA,PFBS,PFHxA,4:2FTS,PFPeS,GenX,ADONA,PFHpA,PFHxS,PFOA,PFHpS,6:2FTS,9Cl-PF3ONS,PFNA,PFOS,PFNS,8:2FTS,PFDA,NMeFOSAA,PFOSA,PFDS,NEtFOSAA,11-ClPF3OUdS,PFUnA,PFDoA,PFTrDA,PFTA
HB_E_trich2,Hop Brook,Emergent_Trichoptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0
HB_E_trich3,Hop Brook,Emergent_Trichoptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.91,0,0,0,0,0,0,0,0,0,0,0,0
RB_E_trich1,Russell Brook,Emergent_Trichoptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.09,86.6,0,0,0,0,0,0,0,0,6.9,0,0,0
RB_E_trich2,Russell Brook,Emergent_Trichoptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.92,96.86,0,0,0,0,0,0,0,0,12.58,0,0,0
RB_E_trich3,Russell Brook,Emergent_Trichoptera,NA,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,78.27,161.11,0,0,0,0,0,0,0,0,28.7,0,0,0
HB_B_trich1,Hop Brook,Larval_Trichoptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_trich2,Hop Brook,Larval_Trichoptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0,0,0
HB_B_trich3,Hop Brook,Larval_Trichoptera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB_B_trich1,Russell Brook,Larval_Trichoptera,NA,0,0,0,0,0,0,0,0,0,0,3.49,0,13.63,0,38.37,98.93,0,0,0,0,0,0,0,0,15.54,0,0,0
RB_B_trich2,Russell Brook,Larval_Trichoptera,NA,0,0,0,0,0,0,0,0,0,1.57,3.76,0,12.86,0,45.79,110.7,0,0,0,0,0,0,0,0,7.84,0,0,0
RB_B_trich3,Russell Brook,Larval_Trichoptera,NA,0,0,0,0,0,0,0,0,0,0.91,3.04,0,18.53,0,31.89,89.61,0,8.2,0,0,0,0,0,0,4.86,0,0,0
RB_BF1_6-02,Russell Brook,Biofilm,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.19,3.56,0,0,0,0,0,0,0,0,0,0,0,0
RB_BF2_6-02,Russell Brook,Biofilm,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.24,0,5.52,0,0,0,0,0,0,6.38,0,0,0
RB_BF3_6-02,Russell Brook,Biofilm,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41,13.52,0,11.48,0,0,0,0,0,0,6.11,0,0,0
HB_BF1_6-03,Hop Brook,Biofilm,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0
HB_BF2_6-03,Hop Brook,Biofilm,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0
HB_BF3_6-03,Hop Brook,Biofilm,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
